2020-10-17T00:18:23.087289;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:23.189692;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:23.293075;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:23.394155;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:23.497085;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:23.599385;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:23.804226;AP1;e4:3e:d7:d4:ea:1c;-66;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:23.906482;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:24.111368;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:24.213815;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:24.828265;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:24.930253;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:25.033089;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:25.442584;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:26.057212;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:26.569267;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:26.671702;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:26.774219;AP1;e4:3e:d7:d4:ea:1c;-69;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:26.877135;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:26.977982;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:27.081303;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:27.183727;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:27.286202;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:27.388602;AP1;e4:3e:d7:d4:ea:1c;-67;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:27.491739;AP1;e4:3e:d7:d4:ea:1c;-68;Arcadyan Corporation;SINGTEL-EA1A
2020-10-17T00:18:27.514768;AP1;d8:a2:5e:00:8d:96;-67;Apple, Inc.;
2020-10-17T00:18:27.533944;AP1;d8:a2:5e:00:8d:96;-68;Apple, Inc.;
